x,y
0.93213874073964,-0.16232893533273343
1.1849081724812343,-0.2213743890469334
1.4684484976873518,-0.2338224807888538
1.7727425760946285,-0.23159187586946678
2.077093387702158,-0.24243467907886992
2.4270582718551044,-0.27034307648335504
2.77042326559874,-0.3133208560484522
3.121233270633576,-0.37038640364915193
3.476507945591812,-0.4456763626190072
3.8159419272405994,-0.5348624750042816
4.1731616819111,-0.6476710510358191
4.545977194248498,-0.7871865267624508
4.894735124025431,-0.9449562022162269
5.236314620247974,-1.1243053563750802
5.553565779918284,-1.31236840251722
5.894529891543141,-1.5396220352563375
6.2083826887798885,-1.7744457551298396
6.495583098212543,-2.01350038244453
6.763626224448543,-2.2532622127708315
