x,y
0.00450908,-2.45E-07
0.012594811,-5.42E-06
0.019411293,-1.41E-05
0.041252148,-7.42E-05
0.070487212,-0.000260487
0.095757872,-0.000520886
0.096422682,-0.000528786
0.098413399,-0.000552442
0.100183751,-0.000573479
0.101068927,-0.000583997
0.101733738,-0.000591897
0.103799148,-0.000616441
0.105274441,-0.000633972
0.107044793,-0.000655009
0.109920686,-0.000689183
0.111470673,-0.000707602
0.114051507,-0.00073827
0.1155268,-0.000755801
0.117002093,-0.000773332
0.117666904,-0.000781232
0.120542797,-0.000815406
0.122313149,-0.000836444
0.124378559,-0.000860987
0.125633487,-0.000875899
0.127624204,-0.000899555
0.130279732,-0.000931111
0.130944543,-0.000939011
0.133009953,-0.000963554
0.133895129,-0.000974073
0.135665481,-0.00099511
0.138321008,-0.001026666
0.139206184,-0.001037185
0.14009136,-0.001047703
0.141861712,-0.00106874
0.143632064,-0.001089778
0.145402416,-0.001110815
0.146287592,-0.001121333
0.148278309,-0.001144989
0.149828295,-0.001163408
0.151819012,-0.001187064
0.152483823,-0.001194964
0.155359716,-0.001229138
0.161679134,-0.001304246
0.156187527,-0.001236877
0.16905642,-0.0014019
0.189041763,-0.001704433
0.241081088,-0.002758995
0.300045138,-0.005384296
0.364079026,-0.009103737
0.437665368,-0.012994594
0.549239063,-0.019312213
0.663705104,-0.02637362
0.753579653,-0.032276234
0.885420591,-0.041581301
1.025943237,-0.052317593
1.13308183,-0.061097211
1.272322803,-0.073268168
1.431508183,-0.090021777
1.581201547,-0.107602076
1.688607708,-0.120706752
1.893043512,-0.148364204
2.037737279,-0.17157974
2.217909516,-0.202657075
2.401490309,-0.235756939
2.553685483,-0.265738699
2.707211354,-0.299389392
2.844797,-0.33154356
3.018046525,-0.374683263
3.175046013,-0.416062722
3.350017442,-0.466513377
3.542982252,-0.526890106
3.719080756,-0.584729699
3.89500344,-0.64720643
4.035415253,-0.700624288
4.227794078,-0.7789879
4.402587105,-0.853241919
4.541820227,-0.915684369
4.714751081,-0.997951632
4.85204227,-1.067193149
5.091001912,-1.193240561
5.242927683,-1.27875591
5.393326354,-1.367849249
5.575173086,-1.481100578
5.690164841,-1.554893362
5.917535834,-1.70760064
6.029396915,-1.787117718
6.202441971,-1.916423356
6.357372618,-2.037667443
6.510999221,-2.16103349
6.676877186,-2.300999349
6.873846972,-2.477882912
6.937431991,-2.536564478
6.944264798,-2.542975847
6.949344256,-2.547742011
6.956963443,-2.554891257
6.958596399,-2.556423494
6.964522433,-2.561984018
6.971295044,-2.568338903
6.974741546,-2.57157283
6.978914231,-2.575488149
6.98320731,-2.579516436
6.990826496,-2.586665681
6.996752531,-2.592226206
7.000985412,-2.596198009
7.003525141,-2.598581091
7.00685125,-2.601702049
7.011930708,-2.606468213
7.016223786,-2.6104965
7.020396471,-2.614411819
7.02468955,-2.618440106
7.028015658,-2.621561065
7.034848466,-2.627972434
7.038174574,-2.631093392
7.042467653,-2.635121679
7.047547111,-2.639887843
7.050873219,-2.643008801
7.05685945,-2.64862581
7.060245756,-2.651803252
7.06441844,-2.655718571
7.068651322,-2.659690374
7.07373078,-2.664456538
7.078870435,-2.669279186
7.085643045,-2.675634071
7.088969154,-2.678755029
7.097434917,-2.686698635
7.103421148,-2.692315644
7.108440409,-2.697025324
7.111826715,-2.700202766
7.115273217,-2.703436692
7.119506099,-2.707408496
7.125432133,-2.71296902
7.129665015,-2.716940823
7.13305132,-2.720118265
7.143210236,-2.729650593
7.147621206,-2.733790773
7.155503869,-2.741200631
7.185826535,-2.770051923
7.209738694,-2.793213975
7.264233195,-2.851493329
7.314755061,-2.908060888
7.36582922,-2.966965183
7.43375951,-3.049163929
7.479788612,-3.106879203
7.562359501,-3.215392294
7.618904955,-3.294472462
7.704600597,-3.42289149
7.770989345,-3.525168876
7.838334677,-3.632511198
7.898595692,-3.732024255
7.996018294,-3.901848636
8.060659891,-4.026023768
8.152040049,-4.212835393
8.193385955,-4.30177501
8.260764302,-4.453644652
8.35127095,-4.673457906
8.40064107,-4.802605784
8.470708065,-5.000941676
8.519601922,-5.153176373
8.565693097,-5.308011863
8.613364776,-5.482907852
8.665406915,-5.696424136
8.700554818,-5.858946043
8.73227031,-6.023323796
8.763316215,-6.207954096
8.784896494,-6.357022705
8.809710841,-6.563757457
8.827299542,-6.753256114
8.83789008,-6.90578011
8.8478765,-7.135863509
8.850666343,-7.309264616
8.847927428,-7.541309182
8.841710029,-7.676939831
8.819071343,-7.928764221
8.794412796,-8.12228061
8.763680651,-8.315373279
8.733274975,-8.469110672
8.689368967,-8.660370328
8.624449364,-8.906220012
8.589442468,-9.020757091
8.521545203,-9.217697626
8.459639359,-9.382703773
8.392964456,-9.548177901
8.279570231,-9.807464867
8.263641442,-9.842100446
8.258844947,-9.852584728
8.254935522,-9.861122396
8.251522503,-9.868569232
8.253860421,-9.863469447
8.255370815,-9.860174624
8.257294928,-9.8559773
8.25880814,-9.852676329
8.260593406,-9.848781888
